index,model_id,rank_mean,rank_stddev,model_label
5,openai/gpt-oss-120b-TEE,5.5,3.415650255319866,gpt-oss-120b-TEE
1,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,4.25,2.8722813232690143,Qwen3-Coder-480B-A35B-Instruct-FP8
8,zai-org/GLM-4.7-FP8,4.75,2.8722813232690143,GLM-4.7-FP8
2,deepseek-ai/DeepSeek-V3.1-Terminus,5.25,2.753785273643051,DeepSeek-V3.1-Terminus
7,zai-org/GLM-4.6-FP8,3.5,2.0816659994661326,GLM-4.6-FP8
9,zai-org/GLM-4.7-Flash,4.5,1.7320508075688772,GLM-4.7-Flash
3,mistralai/Devstral-2-123B-Instruct-2512-TEE,6.75,1.707825127659933,Devstral-2-123B-Instruct-2512-TEE
4,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,8.5,1.2909944487358056,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
6,tngtech/DeepSeek-TNG-R1T2-Chimera,9.75,0.5000000000000001,DeepSeek-TNG-R1T2-Chimera
0,MiniMaxAI/MiniMax-M2.1-TEE,1.0,0.0,MiniMax-M2.1-TEE
