model_id,monotone_rate,model_label
openai/gpt-oss-120b-TEE,1.0,gpt-oss-120b-TEE
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0.75,Qwen3-Coder-480B-A35B-Instruct-FP8
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0.75,NVIDIA-Nemotron-3-Nano-30B-A3B-BF16
deepseek-ai/DeepSeek-V3.1-Terminus,0.75,DeepSeek-V3.1-Terminus
tngtech/DeepSeek-TNG-R1T2-Chimera,0.75,DeepSeek-TNG-R1T2-Chimera
mistralai/Devstral-2-123B-Instruct-2512-TEE,0.5,Devstral-2-123B-Instruct-2512-TEE
zai-org/GLM-4.7-FP8,0.5,GLM-4.7-FP8
MiniMaxAI/MiniMax-M2.1-TEE,0.25,MiniMax-M2.1-TEE
zai-org/GLM-4.6-FP8,0.25,GLM-4.6-FP8
zai-org/GLM-4.7-Flash,0.25,GLM-4.7-Flash
